periodo_origen;periodo_destino;seccion_origen;seccion_destino;Tipo;n_ruc
202501;202502;C;P;Empresa individual de resp. Ltda.;1
202501;202502;C;R;Empresa individual de resp. Ltda.;3
202501;202502;C;S;Empresa individual de resp. Ltda.;9
202501;202502;D;D;Empresa individual de resp. Ltda.;403
202501;202502;D;F;Empresa individual de resp. Ltda.;1
202501;202502;D;G;Empresa individual de resp. Ltda.;1
202501;202502;D;M;Empresa individual de resp. Ltda.;1
202501;202502;D;N;Empresa individual de resp. Ltda.;1
202501;202502;D;S;Empresa individual de resp. Ltda.;2
202501;202502;E;C;Empresa individual de resp. Ltda.;3
202501;202502;E;E;Empresa individual de resp. Ltda.;766
202501;202502;E;G;Empresa individual de resp. Ltda.;1
202501;202502;E;H;Empresa individual de resp. Ltda.;4
202501;202502;E;N;Empresa individual de resp. Ltda.;2
202501;202502;F;A;Empresa individual de resp. Ltda.;2
202501;202502;F;B;Empresa individual de resp. Ltda.;1
202501;202502;F;C;Empresa individual de resp. Ltda.;27
202501;202502;F;D;Empresa individual de resp. Ltda.;1
202501;202502;F;F;Empresa individual de resp. Ltda.;17923
202501;202502;F;G;Empresa individual de resp. Ltda.;103
202501;202502;F;H;Empresa individual de resp. Ltda.;14
202501;202502;F;I;Empresa individual de resp. Ltda.;6
202501;202502;F;J;Empresa individual de resp. Ltda.;2
202501;202502;F;L;Empresa individual de resp. Ltda.;1
202501;202502;F;M;Empresa individual de resp. Ltda.;22
202501;202502;F;N;Empresa individual de resp. Ltda.;27
202501;202502;F;O;Empresa individual de resp. Ltda.;1
202501;202502;F;Q;Empresa individual de resp. Ltda.;1
202501;202502;F;R;Empresa individual de resp. Ltda.;3
202501;202502;F;S;Empresa individual de resp. Ltda.;19
202501;202502;G;A;Empresa individual de resp. Ltda.;14
202501;202502;G;B;Empresa individual de resp. Ltda.;20
202501;202502;G;C;Empresa individual de resp. Ltda.;123
202501;202502;G;D;Empresa individual de resp. Ltda.;2
202501;202502;G;E;Empresa individual de resp. Ltda.;1
202501;202502;G;F;Empresa individual de resp. Ltda.;56
202501;202502;G;G;Empresa individual de resp. Ltda.;100460
202501;202502;G;H;Empresa individual de resp. Ltda.;94
202501;202502;G;I;Empresa individual de resp. Ltda.;43
202501;202502;G;J;Empresa individual de resp. Ltda.;20
202501;202502;G;K;Empresa individual de resp. Ltda.;21
202501;202502;G;L;Empresa individual de resp. Ltda.;5
202501;202502;G;M;Empresa individual de resp. Ltda.;60
202501;202502;G;N;Empresa individual de resp. Ltda.;59
202501;202502;G;P;Empresa individual de resp. Ltda.;4
202501;202502;G;Q;Empresa individual de resp. Ltda.;4
202501;202502;G;R;Empresa individual de resp. Ltda.;4
202501;202502;G;S;Empresa individual de resp. Ltda.;32
202501;202502;H;A;Empresa individual de resp. Ltda.;9
202501;202502;H;B;Empresa individual de resp. Ltda.;20
202501;202502;H;C;Empresa individual de resp. Ltda.;19
202501;202502;H;D;Empresa individual de resp. Ltda.;1
202501;202502;H;E;Empresa individual de resp. Ltda.;1
202501;202502;H;F;Empresa individual de resp. Ltda.;15
202501;202502;H;G;Empresa individual de resp. Ltda.;96
202501;202502;H;H;Empresa individual de resp. Ltda.;20626
202501;202502;H;I;Empresa individual de resp. Ltda.;4
202501;202502;H;K;Empresa individual de resp. Ltda.;1
202501;202502;H;M;Empresa individual de resp. Ltda.;9
202501;202502;H;N;Empresa individual de resp. Ltda.;33
202501;202502;H;Q;Empresa individual de resp. Ltda.;1
202501;202502;H;R;Empresa individual de resp. Ltda.;2
202501;202502;H;S;Empresa individual de resp. Ltda.;6
202501;202502;I;A;Empresa individual de resp. Ltda.;3
202501;202502;I;C;Empresa individual de resp. Ltda.;4
202501;202502;I;F;Empresa individual de resp. Ltda.;2
202501;202502;I;G;Empresa individual de resp. Ltda.;20
202501;202502;I;H;Empresa individual de resp. Ltda.;5
202501;202502;I;I;Empresa individual de resp. Ltda.;12053
202501;202502;I;K;Empresa individual de resp. Ltda.;1
202501;202502;I;L;Empresa individual de resp. Ltda.;1
202501;202502;I;M;Empresa individual de resp. Ltda.;6
202501;202502;I;N;Empresa individual de resp. Ltda.;8
202501;202502;I;P;Empresa individual de resp. Ltda.;2
202501;202502;I;R;Empresa individual de resp. Ltda.;3
202501;202502;I;S;Empresa individual de resp. Ltda.;3
202501;202502;J;C;Empresa individual de resp. Ltda.;4
202501;202502;J;F;Empresa individual de resp. Ltda.;1
202501;202502;J;G;Empresa individual de resp. Ltda.;27
202501;202502;J;H;Empresa individual de resp. Ltda.;1
202501;202502;J;J;Empresa individual de resp. Ltda.;6946
202501;202502;J;K;Empresa individual de resp. Ltda.;3
202501;202502;J;M;Empresa individual de resp. Ltda.;2
202501;202502;J;N;Empresa individual de resp. Ltda.;2
202501;202502;J;S;Empresa individual de resp. Ltda.;5
202501;202502;K;G;Empresa individual de resp. Ltda.;5
202501;202502;K;J;Empresa individual de resp. Ltda.;1
202501;202502;K;K;Empresa individual de resp. Ltda.;714
202501;202502;K;M;Empresa individual de resp. Ltda.;1
202501;202502;L;F;Empresa individual de resp. Ltda.;1
202501;202502;L;G;Empresa individual de resp. Ltda.;5
202501;202502;L;I;Empresa individual de resp. Ltda.;3
202501;202502;L;L;Empresa individual de resp. Ltda.;2332
202501;202502;L;M;Empresa individual de resp. Ltda.;4
202501;202502;L;N;Empresa individual de resp. Ltda.;4
202501;202502;L;P;Empresa individual de resp. Ltda.;1
202501;202502;L;R;Empresa individual de resp. Ltda.;1
202501;202502;L;S;Empresa individual de resp. Ltda.;2
202501;202502;M;B;Empresa individual de resp. Ltda.;2
202501;202502;M;C;Empresa individual de resp. Ltda.;27
202501;202502;M;E;Empresa individual de resp. Ltda.;2
202501;202502;M;F;Empresa individual de resp. Ltda.;7
202501;202502;M;G;Empresa individual de resp. Ltda.;131
202501;202502;M;H;Empresa individual de resp. Ltda.;15
202501;202502;M;I;Empresa individual de resp. Ltda.;8
202501;202502;M;J;Empresa individual de resp. Ltda.;7
202501;202502;M;K;Empresa individual de resp. Ltda.;3
202501;202502;M;L;Empresa individual de resp. Ltda.;2
202501;202502;M;M;Empresa individual de resp. Ltda.;23761
202501;202502;M;N;Empresa individual de resp. Ltda.;24
202501;202502;M;O;Empresa individual de resp. Ltda.;3
202501;202502;M;P;Empresa individual de resp. Ltda.;7
202501;202502;M;Q;Empresa individual de resp. Ltda.;3
202501;202502;M;R;Empresa individual de resp. Ltda.;1
202501;202502;M;S;Empresa individual de resp. Ltda.;32
202501;202502;N;B;Empresa individual de resp. Ltda.;2
202501;202502;N;C;Empresa individual de resp. Ltda.;14
202501;202502;N;E;Empresa individual de resp. Ltda.;3
202501;202502;N;F;Empresa individual de resp. Ltda.;12
202501;202502;N;G;Empresa individual de resp. Ltda.;75
202501;202502;N;H;Empresa individual de resp. Ltda.;47
202501;202502;N;I;Empresa individual de resp. Ltda.;7
202501;202502;N;J;Empresa individual de resp. Ltda.;2
202501;202502;N;M;Empresa individual de resp. Ltda.;10
202501;202502;N;N;Empresa individual de resp. Ltda.;12207
202501;202502;N;P;Empresa individual de resp. Ltda.;1
202501;202502;N;R;Empresa individual de resp. Ltda.;2
202501;202502;N;S;Empresa individual de resp. Ltda.;10
202501;202502;O;G;Empresa individual de resp. Ltda.;4
202501;202502;O;M;Empresa individual de resp. Ltda.;3
202501;202502;O;O;Empresa individual de resp. Ltda.;168
202501;202502;O;P;Empresa individual de resp. Ltda.;1
202501;202502;O;S;Empresa individual de resp. Ltda.;1
202501;202502;P;G;Empresa individual de resp. Ltda.;11
202501;202502;P;I;Empresa individual de resp. Ltda.;1
202501;202502;P;M;Empresa individual de resp. Ltda.;2
202501;202502;P;N;Empresa individual de resp. Ltda.;1
202501;202502;P;P;Empresa individual de resp. Ltda.;5959
202501;202502;P;S;Empresa individual de resp. Ltda.;4
202501;202502;Q;E;Empresa individual de resp. Ltda.;1
202501;202502;Q;G;Empresa individual de resp. Ltda.;8
202501;202502;Q;I;Empresa individual de resp. Ltda.;3
202501;202502;Q;L;Empresa individual de resp. Ltda.;1
202501;202502;Q;M;Empresa individual de resp. Ltda.;1
202501;202502;Q;Q;Empresa individual de resp. Ltda.;10836
202501;202502;Q;R;Empresa individual de resp. Ltda.;2
202501;202502;Q;S;Empresa individual de resp. Ltda.;5
202501;202502;R;C;Empresa individual de resp. Ltda.;7
202501;202502;R;G;Empresa individual de resp. Ltda.;20
202501;202502;R;H;Empresa individual de resp. Ltda.;2
202501;202502;R;I;Empresa individual de resp. Ltda.;13
202501;202502;R;J;Empresa individual de resp. Ltda.;3
202501;202502;R;M;Empresa individual de resp. Ltda.;5
202501;202502;R;N;Empresa individual de resp. Ltda.;14
202501;202502;R;P;Empresa individual de resp. Ltda.;5
202501;202502;R;R;Empresa individual de resp. Ltda.;2450
202501;202502;R;S;Empresa individual de resp. Ltda.;7
202501;202502;S;A;Empresa individual de resp. Ltda.;2
202501;202502;S;B;Empresa individual de resp. Ltda.;2
202501;202502;S;C;Empresa individual de resp. Ltda.;11
202501;202502;S;E;Empresa individual de resp. Ltda.;1
202501;202502;S;F;Empresa individual de resp. Ltda.;4
202501;202502;S;G;Empresa individual de resp. Ltda.;50
202501;202502;S;H;Empresa individual de resp. Ltda.;4
202501;202502;S;I;Empresa individual de resp. Ltda.;4
202501;202502;S;J;Empresa individual de resp. Ltda.;2
202501;202502;S;M;Empresa individual de resp. Ltda.;5
202501;202502;S;N;Empresa individual de resp. Ltda.;9
202501;202502;S;P;Empresa individual de resp. Ltda.;1
202501;202502;S;R;Empresa individual de resp. Ltda.;3
202501;202502;S;S;Empresa individual de resp. Ltda.;8882
202501;202502;T;T;Empresa individual de resp. Ltda.;10
202501;202502;U;U;Empresa individual de resp. Ltda.;2
202501;202502;0;0;Otros;866
202501;202502;0;M;Otros;1
202501;202502;A;A;Otros;1238
202501;202502;B;B;Otros;174
202501;202502;B;G;Otros;1
202501;202502;B;H;Otros;1
202501;202502;B;N;Otros;1
202501;202502;C;A;Otros;1
202501;202502;C;C;Otros;274
202501;202502;C;G;Otros;1
202501;202502;D;D;Otros;29
202501;202502;E;E;Otros;39
202501;202502;F;F;Otros;6825
202501;202502;F;G;Otros;8
202501;202502;F;M;Otros;3
202501;202502;F;N;Otros;1
202501;202502;F;S;Otros;3
202501;202502;G;A;Otros;2
202501;202502;G;G;Otros;700
202501;202502;H;H;Otros;243
202501;202502;H;N;Otros;1
202501;202502;I;I;Otros;56
202501;202502;J;J;Otros;141
202501;202502;K;K;Otros;781
202501;202502;L;L;Otros;150
202501;202502;M;F;Otros;1
202501;202502;M;G;Otros;13
202501;202502;M;M;Otros;5553
202501;202502;M;S;Otros;1
202501;202502;N;N;Otros;273
202501;202502;O;O;Otros;26
202501;202502;P;P;Otros;86
202501;202502;Q;Q;Otros;44
202501;202502;R;R;Otros;20
202501;202502;S;G;Otros;1
202501;202502;S;M;Otros;1
202501;202502;S;N;Otros;1
202501;202502;S;S;Otros;6177
202501;202502;U;U;Otros;4
202501;202502;0;0;Persona natural;475802
202501;202502;0;A;Persona natural;19
202501;202502;0;B;Persona natural;8
202501;202502;0;C;Persona natural;97
202501;202502;0;D;Persona natural;1
202501;202502;0;E;Persona natural;1
202501;202502;0;F;Persona natural;29
202501;202502;0;G;Persona natural;665
202501;202502;0;H;Persona natural;56
202501;202502;0;I;Persona natural;197
202501;202502;0;J;Persona natural;15
202501;202502;0;K;Persona natural;3
202501;202502;0;L;Persona natural;30
202501;202502;0;M;Persona natural;69
202501;202502;0;N;Persona natural;54
202501;202502;0;O;Persona natural;21
202501;202502;0;P;Persona natural;24
202501;202502;0;Q;Persona natural;19
202501;202502;0;R;Persona natural;21
202501;202502;0;S;Persona natural;205
202501;202502;0;T;Persona natural;1
202501;202502;A;A;Persona natural;20342
202501;202502;A;B;Persona natural;1
202501;202502;A;C;Persona natural;5
202501;202502;A;F;Persona natural;3
202501;202502;A;G;Persona natural;41
202501;202502;A;H;Persona natural;14
202501;202502;A;I;Persona natural;6
202501;202502;A;L;Persona natural;4
202501;202502;A;M;Persona natural;6
202501;202502;A;N;Persona natural;1
202501;202502;A;O;Persona natural;1
202501;202502;A;P;Persona natural;1
202501;202502;A;S;Persona natural;13
202501;202502;B;A;Persona natural;1
202501;202502;B;B;Persona natural;13250
202501;202502;B;C;Persona natural;5
202501;202502;B;G;Persona natural;33
202501;202502;B;H;Persona natural;22
202501;202502;B;I;Persona natural;2
202501;202502;B;J;Persona natural;2
202501;202502;B;L;Persona natural;1
202501;202502;B;M;Persona natural;3
202501;202502;B;N;Persona natural;7
202501;202502;B;O;Persona natural;2
202501;202502;B;S;Persona natural;5
202501;202502;C;A;Persona natural;11
202501;202502;C;B;Persona natural;3
202501;202502;C;C;Persona natural;144776
202501;202502;C;D;Persona natural;2
202501;202502;C;E;Persona natural;2
202501;202502;C;F;Persona natural;16
202501;202502;C;G;Persona natural;388
202501;202502;C;H;Persona natural;35
202501;202502;C;I;Persona natural;59
202501;202502;C;J;Persona natural;7
202501;202502;C;K;Persona natural;2
202501;202502;C;L;Persona natural;5
202501;202502;C;M;Persona natural;32
202501;202502;C;N;Persona natural;37
202501;202502;C;O;Persona natural;15
202501;202502;C;P;Persona natural;11
202501;202502;C;Q;Persona natural;4
202501;202502;C;R;Persona natural;8
202501;202502;C;S;Persona natural;79
202501;202502;D;C;Persona natural;1
202501;202502;D;D;Persona natural;705
202501;202502;D;E;Persona natural;2
202501;202502;D;G;Persona natural;3
202501;202502;D;S;Persona natural;5
202501;202502;E;E;Persona natural;2485
202501;202502;E;F;Persona natural;1
202501;202502;E;G;Persona natural;9
202501;202502;E;H;Persona natural;3
202501;202502;E;M;Persona natural;1
202501;202502;E;N;Persona natural;3
202501;202502;E;S;Persona natural;1
202501;202502;F;A;Persona natural;2
202501;202502;F;B;Persona natural;1
202501;202502;F;C;Persona natural;22
202501;202502;F;E;Persona natural;1
202501;202502;F;F;Persona natural;19660
202501;202502;F;G;Persona natural;94
202501;202502;F;H;Persona natural;10
202501;202502;F;I;Persona natural;10
202501;202502;F;J;Persona natural;1
202501;202502;F;L;Persona natural;1
202501;202502;F;M;Persona natural;20
202501;202502;F;N;Persona natural;25
202501;202502;F;O;Persona natural;2
202501;202502;F;R;Persona natural;1
202501;202502;F;S;Persona natural;35
202501;202502;G;A;Persona natural;53
202501;202502;G;B;Persona natural;42
202501;202502;G;C;Persona natural;403
202501;202502;G;D;Persona natural;5
202501;202502;G;E;Persona natural;11
202501;202502;G;F;Persona natural;47
202501;202502;G;G;Persona natural;922299
202501;202502;G;H;Persona natural;299
202501;202502;G;I;Persona natural;395
202501;202502;G;J;Persona natural;43
202501;202502;G;K;Persona natural;21
202501;202502;G;L;Persona natural;36
202501;202502;G;M;Persona natural;207
202501;202502;G;N;Persona natural;214
202501;202502;G;O;Persona natural;110
202501;202502;G;P;Persona natural;41
202501;202502;G;Q;Persona natural;63
202501;202502;G;R;Persona natural;48
202501;202502;G;S;Persona natural;569
202501;202502;H;A;Persona natural;20
202501;202502;H;B;Persona natural;28
202501;202502;H;C;Persona natural;30
202501;202502;H;E;Persona natural;2
202501;202502;H;F;Persona natural;7
202501;202502;H;G;Persona natural;304
202501;202502;H;H;Persona natural;118997
202501;202502;H;I;Persona natural;42
202501;202502;H;J;Persona natural;11
202501;202502;H;K;Persona natural;1
202501;202502;H;L;Persona natural;5
202501;202502;H;M;Persona natural;12
202501;202502;H;N;Persona natural;77
202501;202502;H;O;Persona natural;16
202501;202502;H;P;Persona natural;4
202501;202502;H;Q;Persona natural;3
202501;202502;H;R;Persona natural;8
202501;202502;H;S;Persona natural;75
202501;202502;I;A;Persona natural;10
202501;202502;I;B;Persona natural;9
202501;202502;I;C;Persona natural;43
202501;202502;I;E;Persona natural;4
202501;202502;I;F;Persona natural;9
202501;202502;I;G;Persona natural;329
202501;202502;I;H;Persona natural;46
202501;202502;I;I;Persona natural;222025
202501;202502;I;J;Persona natural;11
202501;202502;I;K;Persona natural;1
202501;202502;I;L;Persona natural;13
202501;202502;I;M;Persona natural;49
202501;202502;I;N;Persona natural;48
202501;202502;I;O;Persona natural;17
202501;202502;I;P;Persona natural;5
202501;202502;I;Q;Persona natural;13
202501;202502;I;R;Persona natural;20
202501;202502;I;S;Persona natural;118
202501;202502;J;A;Persona natural;1
202501;202502;J;C;Persona natural;4
202501;202502;J;F;Persona natural;4
202501;202502;J;G;Persona natural;57
202501;202502;J;H;Persona natural;6
202501;202502;J;I;Persona natural;3
202501;202502;J;J;Persona natural;20796
202501;202502;J;K;Persona natural;1
202501;202502;J;M;Persona natural;11
202501;202502;J;N;Persona natural;9
202501;202502;J;O;Persona natural;6
202501;202502;J;P;Persona natural;1
202501;202502;J;Q;Persona natural;2
202501;202502;J;S;Persona natural;15
202501;202502;K;G;Persona natural;17
202501;202502;K;I;Persona natural;5
202501;202502;K;J;Persona natural;1
202501;202502;K;K;Persona natural;4872
202501;202502;K;M;Persona natural;3
202501;202502;K;N;Persona natural;3
202501;202502;K;S;Persona natural;7
202501;202502;L;A;Persona natural;2
202501;202502;L;C;Persona natural;11
202501;202502;L;G;Persona natural;65
202501;202502;L;H;Persona natural;4
202501;202502;L;I;Persona natural;19
202501;202502;L;J;Persona natural;2
202501;202502;L;K;Persona natural;2
202501;202502;L;L;Persona natural;11226
202501;202502;L;M;Persona natural;7
202501;202502;L;N;Persona natural;15
202501;202502;L;O;Persona natural;4
202501;202502;L;Q;Persona natural;1
202501;202502;L;S;Persona natural;32
202501;202502;M;A;Persona natural;8
202501;202502;M;B;Persona natural;4
202501;202502;M;C;Persona natural;52
202501;202502;M;D;Persona natural;2
202501;202502;M;F;Persona natural;12
202501;202502;M;G;Persona natural;239
202501;202502;M;H;Persona natural;19
202501;202502;M;I;Persona natural;26
202501;202502;M;J;Persona natural;13
202501;202502;M;K;Persona natural;1
202501;202502;M;L;Persona natural;7
202501;202502;M;M;Persona natural;69247
202501;202502;M;N;Persona natural;37
202501;202502;M;O;Persona natural;19
202501;202502;M;P;Persona natural;5
202501;202502;M;Q;Persona natural;7
202501;202502;M;R;Persona natural;6
202501;202502;M;S;Persona natural;105
202501;202502;N;A;Persona natural;4
202501;202502;N;B;Persona natural;11
202501;202502;N;C;Persona natural;42
202501;202502;N;E;Persona natural;1
202501;202502;N;F;Persona natural;10
202501;202502;N;G;Persona natural;196
202501;202502;N;H;Persona natural;60
202501;202502;N;I;Persona natural;44
202501;202502;N;J;Persona natural;7
202501;202502;N;K;Persona natural;3
202501;202502;N;L;Persona natural;4
202501;202502;N;M;Persona natural;38
202501;202502;N;N;Persona natural;54178
202501;202502;N;O;Persona natural;21
202501;202502;N;P;Persona natural;6
202501;202502;N;Q;Persona natural;2
202501;202502;N;R;Persona natural;11
202501;202502;N;S;Persona natural;96
202501;202502;O;A;Persona natural;2
202501;202502;O;C;Persona natural;6
202501;202502;O;E;Persona natural;2
202501;202502;O;F;Persona natural;2
202501;202502;O;G;Persona natural;32
202501;202502;O;H;Persona natural;6
202501;202502;O;I;Persona natural;6
202501;202502;O;M;Persona natural;9
202501;202502;O;N;Persona natural;8
202501;202502;O;O;Persona natural;8178
202501;202502;O;P;Persona natural;4
202501;202502;O;S;Persona natural;17
202501;202502;P;A;Persona natural;2
202501;202502;P;B;Persona natural;2
202501;202502;P;C;Persona natural;5
202501;202502;P;F;Persona natural;2
202501;202502;P;G;Persona natural;23
202501;202502;P;I;Persona natural;8
202501;202502;P;J;Persona natural;2
202501;202502;P;L;Persona natural;2
202501;202502;P;M;Persona natural;5
202501;202502;P;O;Persona natural;3
202501;202502;P;P;Persona natural;14066
202501;202502;P;Q;Persona natural;1
202501;202502;P;R;Persona natural;5
202501;202502;P;S;Persona natural;5
202501;202502;Q;A;Persona natural;2
202501;202502;Q;C;Persona natural;4
202501;202502;Q;E;Persona natural;1
202501;202502;Q;G;Persona natural;30
202501;202502;Q;H;Persona natural;1
202501;202502;Q;I;Persona natural;3
202501;202502;Q;J;Persona natural;1
202501;202502;Q;L;Persona natural;4
202501;202502;Q;M;Persona natural;2
202501;202502;Q;N;Persona natural;1
202501;202502;Q;O;Persona natural;7
202501;202502;Q;P;Persona natural;5
202501;202502;Q;Q;Persona natural;21415
202501;202502;Q;S;Persona natural;17
202501;202502;R;A;Persona natural;1
202501;202502;R;C;Persona natural;18
202501;202502;R;F;Persona natural;1
202501;202502;R;G;Persona natural;52
202501;202502;R;H;Persona natural;5
202501;202502;R;I;Persona natural;22
202501;202502;R;J;Persona natural;3
202501;202502;R;L;Persona natural;2
202501;202502;R;M;Persona natural;6
202501;202502;R;N;Persona natural;19
202501;202502;R;O;Persona natural;4
202501;202502;R;P;Persona natural;5
202501;202502;R;Q;Persona natural;3
202501;202502;R;R;Persona natural;17312
202501;202502;R;S;Persona natural;24
202501;202502;S;A;Persona natural;10
202501;202502;S;B;Persona natural;10
202501;202502;S;C;Persona natural;84
202501;202502;S;D;Persona natural;3
202501;202502;S;E;Persona natural;6
202501;202502;S;F;Persona natural;18
202501;202502;S;G;Persona natural;449
202501;202502;S;H;Persona natural;83
202501;202502;S;I;Persona natural;105
202501;202502;S;J;Persona natural;18
202501;202502;S;K;Persona natural;6
202501;202502;S;L;Persona natural;8
202501;202502;S;M;Persona natural;67
202501;202502;S;N;Persona natural;70
202501;202502;S;O;Persona natural;57
202501;202502;S;P;Persona natural;14
202501;202502;S;Q;Persona natural;18
202501;202502;S;R;Persona natural;12
202501;202502;S;S;Persona natural;223865
202501;202502;T;C;Persona natural;1
202501;202502;T;I;Persona natural;1
202501;202502;T;T;Persona natural;619
202501;202502;U;U;Persona natural;23
202501;202502;0;0;Sociedad anónima;2473
202501;202502;0;A;Sociedad anónima;1
202501;202502;0;C;Sociedad anónima;3
202501;202502;0;F;Sociedad anónima;13
202501;202502;0;G;Sociedad anónima;7
202501;202502;0;H;Sociedad anónima;5
202501;202502;0;I;Sociedad anónima;1
202501;202502;0;J;Sociedad anónima;2
202501;202502;0;L;Sociedad anónima;3
202501;202502;0;M;Sociedad anónima;9
202501;202502;0;N;Sociedad anónima;3
202501;202502;0;P;Sociedad anónima;1
202501;202502;0;Q;Sociedad anónima;1
202501;202502;0;R;Sociedad anónima;1
202501;202502;A;A;Sociedad anónima;7110
202501;202502;A;C;Sociedad anónima;2
202501;202502;A;F;Sociedad anónima;1
202501;202502;A;G;Sociedad anónima;11
202501;202502;A;H;Sociedad anónima;7
202501;202502;A;L;Sociedad anónima;3
202501;202502;A;M;Sociedad anónima;2
202501;202502;A;N;Sociedad anónima;2
202501;202502;B;B;Sociedad anónima;4163
202501;202502;B;C;Sociedad anónima;3
202501;202502;B;E;Sociedad anónima;1
202501;202502;B;F;Sociedad anónima;3
202501;202502;B;G;Sociedad anónima;21
202501;202502;B;H;Sociedad anónima;13
202501;202502;B;I;Sociedad anónima;2
202501;202502;B;M;Sociedad anónima;4
202501;202502;B;N;Sociedad anónima;6
202501;202502;C;A;Sociedad anónima;11
202501;202502;C;B;Sociedad anónima;4
202501;202502;C;C;Sociedad anónima;37623
202501;202502;C;E;Sociedad anónima;1
202501;202502;C;F;Sociedad anónima;29
